time,accel_x,accel_y,accel_z
342.86,1.339905,-0.392167,-12.712762
342.88,1.176502,-0.457529,-12.418636
342.9,1.013099,-0.359487,-11.797703
342.92,1.013099,-0.228764,-11.340175
342.94,1.04578,-0.130722,-11.04605
342.96,0.882377,-0.228764,-10.817285
342.98,0.784335,-0.392167,-10.327076
343,0.784335,-0.359487,-9.640783
343.02,0.849696,-0.588251,-9.608102
343.04,0.849696,-0.457529,-9.738825
343.06,0.718974,-0.457529,-9.575422
343.08,0.915057,-0.424848,-9.967589
343.1,0.980419,-0.359487,-10.621201
343.12,1.04578,-0.228764,-10.653882
343.14,1.04578,-0.392167,-10.52316
343.16,1.013099,-0.457529,-10.229034
343.18,0.980419,-0.457529,-10.098311
343.2,0.915057,-0.392167,-10.425118
343.22,0.620932,-0.359487,-9.738825
343.24,0.392167,-0.228764,-8.725726
343.26,0.392167,-0.392167,-8.823767
343.28,0.326806,-0.392167,-8.758406
343.3,0.392167,-0.392167,-8.39892
343.32,0.490209,-0.52289,-8.104794
343.34,0.424848,-0.457529,-8.104794
343.36,0.555571,-0.620932,-8.4316
343.38,0.555571,-0.784335,-8.987171
343.4,0.555571,-0.784335,-8.889128
343.42,0.588251,-0.817015,-9.51006
343.44,0.620932,-0.882377,-9.477379
343.46,0.555571,-0.784335,-9.117893
343.48,0.457529,-1.013099,-8.856448
343.5,0.359487,-1.04578,-8.104794
343.52,0.163403,-0.947738,-7.189737
343.54,0,-0.947738,-5.26158
343.56,0.065361,-1.143822,-5.359622
343.58,0.098042,-1.176502,-6.764888
343.6,0.326806,-1.274544,-8.006752
343.62,0.490209,-1.339905,-8.529642
343.64,0.457529,-1.372586,-8.627683
343.66,0.718974,-1.470628,-8.987171
343.68,0.620932,-1.274544,-9.281296
343.7,0.653612,-1.111141,-9.313977
343.72,0.817015,-1.111141,-9.510061
343.74,1.07846,-1.209183,-10.261715
343.76,0.751654,-1.07846,-9.836867
343.78,0.653612,-1.111141,-8.95449
343.8,0.490209,-0.947738,-9.183254
343.82,0.52289,-1.07846,-9.019851
343.84,0.294126,-1.013099,-8.562322
343.86,0.457529,-0.882377,-8.95449
343.88,0.294126,-0.915057,-8.366239
343.9,0.392167,-0.817015,-8.4316
343.92,0.490209,-0.817015,-8.856448
343.94,0.588251,-0.784335,-9.477379
343.96,0.457529,-0.817015,-9.281296
343.98,0.196084,-0.751654,-8.791087
344,0.294126,-0.784335,-9.183254
344.02,0.457529,-0.718974,-9.836867
344.04,0.52289,-0.751654,-9.608102
344.06,0.555571,-0.882377,-9.640783
344.08,0.718974,-0.686293,-9.934908
344.1,0.882377,-0.718974,-10.490479
344.12,0.784335,-0.751654,-10.490479
344.14,0.849696,-0.718974,-9.934908
344.16,0.915057,-0.653612,-9.575422
344.18,0.849696,-0.751654,-9.477379
344.2,0.882377,-0.718974,-9.902228
344.22,0.817015,-0.620932,-9.934908
344.24,0.980419,-0.817015,-10.294395
344.26,0.849696,-0.849696,-10.392438
344.28,0.784335,-0.784335,-10.130992
344.3,0.882377,-0.817015,-9.542741
344.32,0.817015,-0.784335,-9.281296
344.34,0.849696,-0.784335,-9.608102
344.36,0.751654,-0.947738,-9.215935
344.38,0.751654,-0.817015,-9.281296
344.4,0.784335,-0.915057,-9.510061
344.42,0.686293,-0.915057,-8.791087
344.44,0.653612,-0.784335,-8.791087
344.46,0.555571,-0.784335,-8.987171
344.48,0.424848,-0.163403,-9.673463
344.5,-1.339905,2.745172,-24.281701
344.52,0.098042,0.915057,-42.059956
344.54,0.490209,-0.359487,-30.425658
344.56,0.392167,-0.326806,-12.843484
344.58,0.228764,-1.07846,-9.444699
344.6,0.196084,-0.751654,-10.55584
344.62,0.751654,-0.947738,-11.04605
344.64,0.915057,-0.718974,-11.765023
344.66,1.111141,-0.751654,-11.013369
344.68,1.176502,-0.817016,-10.948007
344.7,1.241864,-1.176502,-11.634301
344.72,1.274544,-0.784335,-10.751924
344.74,0.915057,-0.947738,-9.608103
344.76,1.111141,-0.620932,-10.261715
344.78,0.882377,-0.686293,-10.196354
344.8,1.111141,-0.784335,-9.379338
344.82,1.339905,-0.653612,-9.281296
344.84,1.405267,-0.130722,-10.065631
344.86,1.111141,-0.751654,-9.346657
344.88,1.274544,-0.653612,-8.202836
344.9,0.751654,-0.424848,-7.777988
344.92,0.686293,-0.359487,-7.843349
344.94,0.751654,-0.294126,-7.418501
344.96,1.176502,-0.196084,-8.366238
344.98,1.176502,-0.457529,-9.183254
345,0.620932,-0.52289,-8.660364
345.02,0.817015,-0.196084,-8.300877
345.04,0.555571,-0.098042,-8.072113
345.06,0.490209,-0.261445,-8.39892
345.08,0.686293,-0.457529,-7.581904
345.1,0.457529,-0.457529,-7.124375
345.12,1.013099,-0.849696,-7.581904
345.14,0.947738,-0.947738,-7.777988
345.16,0.849696,-0.490209,-7.287778
345.18,0.980419,-0.784335,-7.222417
345.2,1.013099,-0.52289,-7.647265
345.22,1.437947,-0.817016,-8.660364
345.24,1.535989,-0.849696,-9.183254
345.26,1.307225,-0.588251,-8.758406
345.28,1.699392,-0.849696,-9.150573
345.3,1.830115,-1.013099,-9.379338
345.32,1.634031,-1.274544,-9.575422
345.34,2.09156,-1.013099,-9.738825
345.36,2.320324,-1.241864,-10.327076
345.38,2.64713,-1.013099,-10.751924
345.4,2.418366,-0.784335,-11.176772
345.42,2.61445,-0.915057,-10.784605
345.44,2.810533,-0.52289,-9.085212
345.46,2.843214,-0.718974,-9.542742
345.48,3.235381,-0.718974,-10.294395
345.5,3.790952,-1.209183,-10.229034
345.52,4.477245,-2.254963,-10.621201
345.54,3.823633,-1.699392,-11.797703
345.56,3.300743,-0.718974,-11.765023
345.58,3.823633,-0.817016,-11.503578
345.6,3.790952,-0.915057,-11.830384
345.62,3.562188,-1.339905,-11.405537
345.64,3.823633,-1.241864,-11.438217
345.66,3.758271,-1.143822,-11.07873
345.68,4.2158,-1.307225,-11.144092
345.7,4.085077,-1.274544,-10.784604
345.72,4.248481,-1.307225,-10.457798
345.74,4.117758,-1.111141,-11.013369
345.76,4.183119,-1.372586,-10.784604
345.78,4.248481,-1.111141,-10.751924
345.8,4.019716,-0.980419,-10.653882
345.82,4.248481,-1.143822,-11.013369
345.84,4.346522,-1.209183,-10.915327
345.86,4.248481,-1.274544,-10.686563
345.88,4.019716,-1.013099,-10.915327
345.9,4.248481,-1.176502,-11.013369
345.92,4.2158,-1.209183,-11.046049
345.94,4.346522,-1.241864,-11.176772
345.96,4.444564,-0.359487,-11.209453
345.98,4.477245,-1.209183,-11.176772
346,4.607967,-0.555571,-11.176772
346.02,4.673329,-0.915057,-11.6343
346.04,4.313842,-0.653612,-11.961107
346.06,4.019716,-1.209183,-11.830384
346.08,4.313842,-0.294126,-11.470898
346.1,4.281161,-0.686293,-11.6343
346.12,4.313842,-0.228764,-11.6343
346.14,4.379203,-0.653612,-11.797704
346.16,4.281161,-0.620932,-11.536259
346.18,4.346522,-1.339905,-11.536259
346.2,4.477245,-1.013099,-10.915327
346.22,4.477245,-0.784335,-10.621202
346.24,4.379203,-0.784335,-10.686563
346.26,4.70601,-0.947738,-11.209453
346.28,4.281161,-0.817015,-11.568939
346.3,4.281161,-0.784335,-11.765023
346.32,3.823633,-0.718974,-11.144092
346.34,4.085077,-0.817015,-11.176772
346.36,4.183119,-0.065361,-10.490479
346.38,4.019716,-0.294126,-10.163673
346.4,4.313842,0,-10.817286
346.42,4.804051,-0.261445,-11.438217
346.44,4.477245,-0.326806,-11.6343
346.46,4.379203,-0.555571,-11.863065
346.48,4.444564,-0.326806,-12.353274
346.5,4.509925,-0.849696,-13.301012
346.52,4.640648,-0.620932,-13.104929
346.54,3.954355,-0.653612,-12.843484
346.56,3.987036,-0.359487,-12.516677
346.58,3.954355,-0.620932,-12.287913
346.6,3.594868,-0.424848,-11.274814
346.62,3.660229,-0.882377,-11.372856
346.64,3.562188,-0.784335,-11.503578
346.66,3.13734,-1.013099,-10.52316
346.68,2.973936,-0.947738,-10.817285
346.7,2.843214,-1.241864,-10.457799
346.72,3.006617,-1.307225,-10.719244
346.74,3.366104,-1.307225,-11.765023
346.76,3.104659,-1.176502,-12.189871
346.78,3.464146,-1.209183,-12.745442
346.8,3.529507,-1.535989,-13.333693
346.82,3.529507,-1.241864,-12.876164
346.84,3.333423,-1.634031,-12.189871
346.86,3.039298,-1.241864,-10.588521
346.88,2.908575,-1.503309,-9.477379
346.9,2.777853,-1.07846,-9.477379
346.92,2.777853,-1.176502,-9.575422
346.94,2.581769,-1.176502,-10.719244
346.96,2.64713,-1.339905,-10.980689
346.98,2.516408,-1.209183,-11.209452
347,2.61445,-1.274544,-10.52316
347.02,2.483727,-1.209183,-10.327076
347.04,2.353005,-0.947738,-9.542741
347.06,2.287643,-1.013099,-10.817285
347.08,2.483727,-0.718974,-12.320593
347.1,3.039298,-0.686293,-13.595138
347.12,3.202701,-0.620932,-16.438352
347.14,3.235381,-0.817015,-18.170425
347.16,3.202701,-0.686293,-18.137745
347.18,3.17002,-1.07846,-17.353408
347.2,2.843214,-1.013099,-16.242267
347.22,2.777853,-1.241864,-14.640917
347.24,2.581769,-1.07846,-13.17029
347.26,2.581769,-1.241864,-11.993787
347.28,2.64713,-1.013099,-12.843484
347.3,2.64713,-0.915057,-12.908845
347.32,2.483727,-0.915057,-12.385955
347.34,2.581769,-0.882377,-11.372856
347.36,2.61445,-0.751654,-11.242134
347.38,2.64713,-0.620932,-10.948007
347.4,2.581769,-0.490209,-11.111411
347.42,2.64713,-0.326806,-11.56894
347.44,2.712491,-0.490209,-12.451316
347.46,2.941256,-0.228764,-13.006887
347.48,2.843214,-0.424848,-13.301013
347.5,2.941256,0.065361,-13.562458
347.52,2.941256,-0.228764,-13.856583
347.54,3.006617,0.065361,-14.150709
347.56,3.071978,-0.261445,-14.281431
347.58,3.13734,-0.163403,-14.706279
347.6,3.300743,-0.163403,-14.477514
347.62,3.235381,0.163403,-14.477514
347.64,3.104659,0,-14.019986
347.66,3.13734,-0.065361,-13.823902
347.68,3.268062,0.294126,-13.856583
347.7,2.973936,-0.196084,-13.954624
347.72,3.268062,-0.032681,-13.431735
347.74,3.071978,-0.424848,-12.451316
347.76,2.712492,-0.130722,-11.797704
347.78,2.908575,-0.098042,-11.732343
347.8,3.006617,-0.653612,-12.15719
347.82,2.418366,-0.326806,-11.993788
347.84,2.516408,0,-11.07873
347.86,2.777853,0.228764,-10.686563
347.88,2.973936,0.065361,-11.07873
347.9,2.810533,-0.261445,-11.372855
347.92,2.61445,-0.457529,-11.765023
347.94,2.516408,-0.359487,-11.863065
347.96,2.745172,-0.620932,-11.666981
347.98,2.418366,-0.032681,-11.765023
348,2.973936,0.326806,-11.438217
348.02,3.039298,-0.098042,-11.405537
348.04,3.464146,-0.228764,-11.765023
348.06,2.810533,0.261445,-11.928426
348.08,4.019716,-1.307225,-11.438217
348.1,2.908575,-0.163403,-11.536259
348.12,2.254963,0.424848,-11.372855
348.14,3.725591,-1.143822,-11.07873
348.16,3.594868,-0.620932,-11.405537
348.18,2.353005,0.261445,-11.307494
348.2,1.830115,0.947738,-10.751924
348.22,1.928157,0.849696,-10.523159
348.24,2.777853,0.359487,-10.425118
348.26,3.954355,-0.915057,-10.490479
348.28,4.150439,-1.111141,-10.392437
348.3,2.908575,0.261445,-10.588521
348.32,2.483727,0.751654,-11.144092
348.34,3.888994,-0.849696,-10.653882
348.36,3.823632,-0.424848,-10.359757
348.38,2.418366,0.947738,-10.621202
348.4,3.366104,-0.326806,-10.457798
348.42,3.69291,-0.718974,-10.00027
348.44,2.222282,0.784335,-10.00027
348.46,3.431465,-0.098042,-9.575422
348.48,3.268062,-0.196084,-9.379337
348.5,3.13734,0.032681,-9.608102
348.52,3.268062,-0.326806,-9.673463
348.54,3.529507,-0.294126,-9.281296
348.56,3.17002,-0.196084,-8.823768
348.58,3.13734,-0.163403,-8.98717
348.6,3.398784,-0.065361,-9.542741
348.62,3.398784,-0.065361,-10.163672
348.64,3.529507,0,-10.52316
348.66,3.823632,-0.163403,-10.490479
348.68,3.627549,0,-9.934909
348.7,3.398784,-0.130722,-9.771505
348.72,3.398784,-0.065361,-9.575421
348.74,3.562188,-0.196084,-9.117893
348.76,3.431465,-0.196084,-8.496962
348.78,3.431465,-0.392167,-8.039433
348.8,3.268062,-0.424848,-7.451181
348.82,3.202701,-0.457529,-7.516542
348.84,3.431465,-0.653612,-7.777988
348.86,3.594868,-0.392167,-8.170155
348.88,3.496826,-0.098042,-8.496962
