time,gyro_x,gyro_y,gyro_z
255.48,0.93026,0.055851,-0.148353
255.5,0.822923,0.094248,-0.124791
255.52,0.705986,0.120428,-0.09163
255.54,0.539307,0.142244,-0.070686
255.56,0.259181,0.145735,-0.054105
255.58,0.075049,0.148353,-0.018326
255.6,-0.101229,0.130027,0.018326
255.62,-0.294088,0.083776,0.056723
255.64,-0.44855,0.03927,0.106465
255.66,-0.588176,0.003491,0.154462
255.68,-0.69115,-0.034034,0.210312
255.7,-0.699004,-0.054978,0.258309
255.72,-0.640536,-0.066323,0.298451
255.74,-0.563741,-0.07854,0.331613
255.76,-0.51749,-0.087266,0.363028
255.78,-0.475602,-0.102974,0.381354
255.8,-0.392699,-0.10472,0.397935
255.82,-0.328122,-0.09512,0.421497
255.84,-0.257436,-0.087266,0.424988
255.86,-0.246091,-0.09163,0.434587
255.88,-0.238237,-0.109956,0.443314
255.9,-0.297579,-0.128282,0.432842
255.92,-0.361283,-0.115192,0.436332
255.94,-0.403171,-0.089884,0.429351
255.96,-0.459022,-0.063705,0.415388
255.98,-0.511381,-0.041888,0.398808
256,-0.53058,-0.02618,0.387463
256.02,-0.449422,-0.025307,0.376118
256.04,-0.335103,-0.014835,0.37001
256.06,-0.205076,-0.000873,0.357792
256.08,-0.120428,0.006109,0.336849
256.1,-0.105592,0.01309,0.307178
256.12,-0.135263,0.024435,0.280125
256.14,-0.11781,0.037525,0.254818
256.16,-0.034907,0.053233,0.232129
256.18,0.071559,0.059341,0.214676
256.2,0.097738,0.035779,0.18675
256.22,0.061959,0.006109,0.16057
256.24,0.006109,-0.004363,0.138754
256.26,-0.068941,-0.009599,0.129154
256.28,-0.006109,-0.000873,0.123918
256.3,0.089012,0.009599,0.109083
256.32,0.185005,0.02618,0.088139
256.34,0.213803,0.035779,0.064577
256.36,0.282743,0.075922,0.041015
256.38,0.395317,0.115192,0.008727
256.4,0.423242,0.142244,-0.017453
256.42,0.410152,0.151844,-0.049742
256.44,0.379609,0.163188,-0.081158
256.46,0.320268,0.166679,-0.110828
256.48,0.295833,0.180642,-0.118682
256.5,0.279253,0.176278,-0.123046
256.52,0.249582,0.153589,-0.123046
256.54,0.219911,0.140499,-0.125664
256.56,0.198968,0.138754,-0.128282
256.58,0.177151,0.1309,-0.139626
256.6,0.185878,0.129154,-0.140499
256.62,0.150098,0.110828,-0.146608
256.64,0.061087,0.093375,-0.156207
256.66,-0.024435,0.069813,-0.171042
256.68,-0.110828,0.049742,-0.184132
256.7,-0.17366,0.054105,-0.180642
256.72,-0.176278,0.034907,-0.175406
256.74,-0.168424,0.013963,-0.154462
256.76,-0.113446,-0.006109,-0.137881
256.78,-0.103847,-0.024435,-0.11781
256.8,-0.075049,-0.031416,-0.102974
256.82,-0.093375,-0.050615,-0.094248
256.84,-0.112574,-0.074176,-0.085521
256.86,-0.122173,-0.09163,-0.081158
256.88,-0.082903,-0.103847,-0.070686
256.9,-0.020944,-0.095993,-0.066323
256.92,-0.073304,-0.086394,-0.071558
256.94,-0.106465,-0.063705,-0.088139
256.96,-0.10821,-0.041015,-0.077667
256.98,-0.090757,-0.041888,-0.072431
257,-0.051487,-0.044506,-0.076794
257.02,-0.037525,-0.061087,-0.071558
257.04,-0.056723,-0.082903,-0.058469
257.06,-0.083776,-0.102974,-0.054978
257.08,-0.089012,-0.099484,-0.067195
257.1,-0.13439,-0.105592,-0.08203
257.12,-0.15708,-0.120428,-0.084648
257.14,-0.159698,-0.137881,-0.090757
257.16,-0.138754,-0.13439,-0.077667
257.18,-0.123046,-0.125664,-0.068941
257.2,-0.095993,-0.123046,-0.058469
257.22,-0.074176,-0.124791,-0.053233
257.24,-0.128282,-0.138754,-0.051487
257.26,-0.223402,-0.148353,-0.058469
257.28,-0.287107,-0.149226,-0.059341
257.3,-0.309796,-0.131772,-0.055851
257.32,-0.2522,-0.132645,-0.038397
257.34,-0.207694,-0.14399,-0.034907
257.36,-0.062832,-0.153589,-0.018326
